sku,Total_Revenue,Total_Quantity,ASP
J0114-TP-M,4179.0,7,597.0
J0114-TP-S,678.0,2,339.0
J0114-TP-XS,314.0,1,314.0
J0115-TP-XXL,352.0,1,352.0
J0116-TP-M,360.0,1,360.0
J0116-TP-S,1463.0,4,365.75
J0116-TP-XS,360.0,1,360.0
J0116-TP-XXL,809.0,2,404.5
J0117-TP-A-XXXL,3776.0,6,629.3333333333334
J0117-TP-M,59560.15,90,661.7794444444445
J0117-TP-S,25243.05,42,601.025
J0117-TP-XL,57471.77,89,645.7502247191011
J0117-TP-XS,17502.0,26,673.1538461538462
J0117-TP-XXL,55157.62,91,606.1276923076923
J0117-TP-XXXL,39870.9,65,613.3984615384616
J0118-TP-L,30640.0,63,486.3492063492063
J0118-TP-M,22408.0,44,509.27272727272725
J0118-TP-S,17957.0,34,528.1470588235294
J0118-TP-XL,68280.29,120,569.0024166666666
J0118-TP-XS,3542.0,7,506.0
J0118-TP-XXL,54504.0,104,524.0769230769231
J0118-TP-XXXL,66075.0,121,546.0743801652893
J0119-TP-L,79982.29,122,655.5925409836065
J0119-TP-M,66544.63,107,621.9124299065421
J0119-TP-S,22548.34,36,626.3427777777778
J0119-TP-XL,101852.0,167,609.8922155688623
J0119-TP-XS,10868.0,17,639.2941176470588
J0119-TP-XXL,97385.29,155,628.2921935483871
J0119-TP-XXXL,104579.16,168,622.495
J0120-TP-L,365.0,1,365.0
J0120-TP-M,365.0,1,365.0
J0120-TP-S,1095.0,3,365.0
J0120-TP-XL,1095.0,3,365.0
J0120-TP-XS,365.0,1,365.0
J0120-TP-XXL,365.0,1,365.0
J0120-TP-XXXL,1095.0,3,365.0
J0121-TP-L,498.0,2,249.0
J0121-TP-S,301.0,1,301.0
J0122-TP-L,313.33,0,inf
J0122-TP-M,3037.29,8,379.66125
J0122-TP-S,6521.33,17,383.60764705882355
J0122-TP-XL,3936.34,12,328.02833333333336
J0122-TP-XS,659.0,2,329.5
J0122-TP-XXL,9516.29,29,328.1479310344828
J0122-TP-XXXL,11887.0,37,321.27027027027026
J0123-TP-M,301.0,1,301.0
J0123-TP-XL,2278.0,4,569.5
J0123-TP-XS,1139.0,2,569.5
J0123-TP-XXL,4286.0,13,329.6923076923077
J0123-TP-XXXL,906.0,1,906.0
J0124-TP-L,9192.0,16,574.5
J0124-TP-M,5510.67,8,688.83375
J0124-TP-S,5692.86,8,711.6075
J0124-TP-XL,7229.62,12,602.4683333333334
J0124-TP-XS,2233.0,4,558.25
J0124-TP-XXL,9061.0,16,566.3125
J0124-TP-XXXL,7005.0,13,538.8461538461538
J0126-SKD-L,6072.71,7,867.53
J0126-SKD-M,7102.0,9,789.1111111111111
J0126-SKD-S,3202.0,5,640.4
J0126-SKD-XL,5257.0,6,876.1666666666666
J0126-SKD-XS,3807.0,4,951.75
J0126-SKD-XXL,11603.0,14,828.7857142857143
J0126-SKD-XXXL,9913.0,11,901.1818181818181
J0127-SKD-L,21600.01,16,1350.000625
J0127-SKD-M,1115.0,1,1115.0
J0127-SKD-S,13617.0,11,1237.909090909091
J0127-SKD-XL,17969.0,16,1123.0625
J0127-SKD-XS,21145.86,16,1321.61625
J0127-SKD-XXL,6704.92,6,1117.4866666666667
J0127-SKD-XXXL,5930.0,5,1186.0
J0129-SET-S,3651.0,5,730.2
J0129-SET-XS,4382.0,6,730.3333333333334
J0130-SET-L,659.0,1,659.0
J0130-SET-M,659.0,1,659.0
J0130-SET-S,3311.0,4,827.75
J0130-SET-XL,659.0,1,659.0
J0130-SET-XS,4708.0,7,672.5714285714286
J0130-SET-XXL,3992.62,5,798.524
J0130-SET-XXXL,4683.0,7,669.0
J0131-KR-A-M,369.0,1,369.0
J0131-KR-L,1032.0,3,344.0
J0131-KR-S,1962.57,3,654.1899999999999
J0131-KR-XL,684.0,2,342.0
J0131-KR-XS,2442.43,6,407.07166666666666
J0131-KR-XXL,3207.43,8,400.92875
J0131-KR-XXXL,2280.71,2,1140.355
J0132-KR-L,5971.76,14,426.55428571428575
J0132-KR-XL,4327.0,12,360.5833333333333
J0132-KR-XS,3490.14,8,436.2675
J0132-KR-XXL,4928.0,12,410.6666666666667
J0132-KR-XXXL,9433.95,24,393.08125
J0133-KR-A-L,364.0,1,364.0
J0133-KR-A-M,741.0,2,370.5
J0133-KR-A-XL,758.0,2,379.0
J0133-KR-XS,1367.0,2,683.5
J0133-KR-XXL,758.0,2,379.0
J0133-KR-XXXL,1587.0,1,1587.0
J0134-SET-L,6303.0,9,700.3333333333334
J0134-SET-M,5646.0,8,705.75
J0134-SET-S,16009.0,21,762.3333333333334
J0134-SET-XL,10538.42,13,810.6476923076923
J0134-SET-XS,6095.0,5,1219.0
J0134-SET-XXL,5622.0,8,702.75
J0134-SET-XXXL,3479.71,4,869.9275
J0135-SET-L,22274.88,27,824.9955555555556
J0135-SET-M,17124.86,27,634.2540740740741
J0135-SET-S,9357.44,11,850.6763636363637
J0135-SET-XL,18194.3,26,699.7807692307692
J0135-SET-XS,7092.0,12,591.0
J0135-SET-XXL,4728.0,9,525.3333333333334
J0135-SET-XXXL,5910.0,10,591.0
J0136-KR-M,568.0,1,568.0
J0136-KR-S,2670.0,4,667.5
J0136-KR-XL,1704.0,3,568.0
J0136-KR-XS,1067.0,2,533.5
J0136-KR-XXL,3408.0,6,568.0
J0136-KR-XXXL,3976.0,7,568.0
J0137-SET-L,5184.0,7,740.5714285714286
J0137-SET-M,1442.0,2,721.0
J0137-SET-S,1442.0,3,480.6666666666667
J0137-SET-XL,2163.0,3,721.0
J0137-SET-XS,841.0,1,841.0
J0137-SET-XXL,4330.0,5,866.0
J0137-SET-XXXL,2855.38,4,713.845
J0138-KR-M,952.0,2,476.0
J0138-KR-S,499.0,1,499.0
J0138-KR-XS,1083.0,1,1083.0
J0138-KR-XXL,499.0,1,499.0
J0139-KR-L,11665.57,24,486.06541666666664
J0139-KR-M,1191.0,3,397.0
J0139-KR-S,4134.0,7,590.5714285714286
J0139-KR-XL,5150.57,12,429.21416666666664
J0139-KR-XS,3971.0,9,441.22222222222223
J0139-KR-XXL,8934.0,21,425.42857142857144
J0139-KR-XXXL,11279.0,24,469.9583333333333
J0140-SET-L,1182.0,2,591.0
J0140-SET-M,1182.0,2,591.0
J0140-SET-S,1803.0,3,601.0
J0140-SET-XL,6514.86,7,930.6942857142857
J0140-SET-XXL,1768.0,3,589.3333333333334
J0140-SET-XXXL,586.0,1,586.0
J0141-KR-XXL,927.0,2,463.5
J0142-KR-L,1993.1399999999999,4,498.28499999999997
J0142-KR-M,3555.71,8,444.46375
J0142-KR-S,1601.0,4,400.25
J0142-KR-XL,2803.33,6,467.22166666666664
J0142-KR-XS,396.0,1,396.0
J0142-KR-XXXL,396.0,1,396.0
J0143-SET-A-L,640.0,1,640.0
J0143-SET-A-S,3225.0,5,645.0
J0143-SET-A-XS,1290.0,2,645.0
J0143-SET-A-XXL,1935.0,3,645.0
J0143-SET-A-XXXL,1290.0,2,645.0
J0144-SET-S,529.0,1,529.0
J0144-SET-XS,4936.24,9,548.4711111111111
J0144-SET-XXL,3205.0,5,641.0
J0145-SET-L,493.0,1,493.0
J0145-SET-M,1479.0,3,493.0
J0145-SET-S,511.0,1,511.0
J0145-SET-XS,2519.0,5,503.8
J0145-SET-XXL,1721.0,1,1721.0
J0145-SET-XXXL,478.0,1,478.0
J0147-SET-L,583.0,1,583.0
J0147-SET-M,583.0,1,583.0
J0147-SET-XL,13306.08,20,665.304
J0147-SET-XS,2269.54,3,756.5133333333333
J0147-SET-XXL,5199.54,9,577.7266666666667
J0147-SET-XXXL,3497.0,6,582.8333333333334
J0148-SET-L,6885.0,11,625.9090909090909
